Employee Id,Name,Age,Department,Date of Joining,Years of Experience,Country,Salary,Performance Rating,Total Sales,Support Rating
1,Stephen Cummings,36,Sales,2015-01-01,6,Kaldora,127621,3,87491,0
2,Jessica Yoder,45,Marketing,2017-01-01,11,Aqualis,102035,5,0,0
3,Eric Zimmerman,44,Support,2023-01-01,1,Xentara,115498,5,0,5
4,Scott Ellis,47,Development,2024-01-01,4,Arkalon,84189,2,0,0
5,Kathryn Jones,45,Operations,2019-01-01,7,Lumeria,100865,5,0,0
6,Chad Padilla,29,Development,2021-01-01,6,Kaldora,99903,4,0,0
7,Brian Chavez,31,Marketing,2020-01-01,9,Vantor,89533,2,0,0
8,Steven Jones,36,Operations,2020-01-01,4,Vantor,82867,2,0,0
9,Alvin Hicks,32,Development,2014-01-01,9,Lumeria,101851,3,0,0
10,Beverly Rush,40,Marketing,2012-01-01,3,Nirvon,84931,4,0,0
11,Jordan Webb,41,Sales,2021-01-01,19,Nirvon,145502,4,97175,0
12,Marisa Davis,31,Sales,2012-01-01,4,Kaldora,104709,2,50562,0
13,Kenneth Wright,49,Marketing,2019-01-01,15,Utopia,117173,5,0,0
14,Ryan Hurley,31,Development,2020-01-01,2,Aqualis,96772,4,0,0
15,Bernard Bennett,46,Development,2017-01-01,19,Zebronia,124922,2,0,0
16,Terry Miller,60,Development,2021-01-01,19,Nirvon,127488,3,0,0
17,Denise Singh,34,Development,2011-01-01,8,Vantor,99611,3,0,0
18,Angela Scott DDS,40,Support,2013-01-01,16,Aqualis,108005,4,0,4
19,Robert Baker,34,Sales,2021-01-01,9,Drogol,112407,2,65978,0
20,Miguel Garrett,56,Operations,2016-01-01,14,Arkalon,107100,3,0,0
21,Pamela Moses,37,Marketing,2023-01-01,8,Aqualis,91684,3,0,0
22,Tommy Ward,27,Development,2013-01-01,4,Lumeria,105106,5,0,0
23,Keith Holden,54,Development,2025-01-01,11,Xentara,94900,2,0,0
24,Robert Martin,57,Development,2013-01-01,13,Utopia,127452,5,0,0
25,Melissa Hamilton,44,Support,2018-01-01,13,Aqualis,87598,2,0,2
26,Sarah Turner,36,Operations,2018-01-01,4,Vantor,95341,5,0,0
27,Craig Russell,44,Support,2012-01-01,7,Zebronia,78382,1,0,1
28,Victoria Porter,52,Marketing,2010-01-01,20,Nirvon,110286,2,0,0
29,Craig Sampson,35,Leadership,2018-01-01,9,Vantor,267436,2,0,0
30,Michael Howard,29,Operations,2011-01-01,7,Zebronia,100348,5,0,0
31,Sean Sampson,42,Leadership,2010-01-01,2,Nirvon,500000,3,0,0
32,Clayton Singh,52,Support,2013-01-01,18,Vantor,92054,2,0,3
33,Joshua Wilkins,37,Sales,2023-01-01,14,Nirvon,110795,3,65708,0
34,Carl Arnold,33,Operations,2018-01-01,9,Aqualis,93019,2,0,0
35,Jessica Williams,52,Operations,2010-01-01,14,Drogol,120142,5,0,0
36,Crystal Baker,36,Development,2017-01-01,7,Arkalon,103335,4,0,0
37,Keith Ellis,31,Support,2025-01-01,8,Arkalon,82524,2,0,3
38,Ashley Matthews,42,Sales,2016-01-01,19,Arkalon,109894,2,62719,0
39,Carolyn Rodriguez,46,Development,2010-01-01,9,Lumeria,109444,5,0,0
40,Susan Pearson,40,Marketing,2026-01-01,7,Drogol,82313,4,0,0
41,Jody Glenn,39,Support,2011-01-01,5,Nirvon,92524,2,0,3
42,Angela Brown,56,Operations,2016-01-01,15,Arkalon,110575,3,0,0
43,Amanda Glover,58,Development,2023-01-01,16,Xentara,112297,3,0,0
44,Daniel House,44,Operations,2026-01-01,14,Drogol,95512,3,0,0
45,Lindsay Griffith,42,Development,2023-01-01,6,Utopia,91936,2,0,0
46,Austin Dougherty,52,Operations,2019-01-01,18,Zebronia,112442,2,0,0
47,Catherine Fitzgerald,42,Support,2020-01-01,7,Utopia,76566,1,0,1
48,Frank Chavez,52,Sales,2010-01-01,10,Drogol,160642,5,130913,0
49,Danielle Duran,33,Operations,2024-01-01,5,Aqualis,95326,5,0,0
50,James Scott,49,Development,2016-01-01,7,Utopia,97123,3,0,0
51,Eric Bass,28,Development,2026-01-01,2,Zebronia,78219,4,0,0
52,Lisa Moore,46,Development,2019-01-01,13,Zebronia,109296,2,0,0
53,Cheryl Hall,46,Sales,2014-01-01,1,Zebronia,146839,4,115963,0
54,Mark Ortiz,49,Support,2023-01-01,6,Utopia,90718,3,0,3
55,Jorge Bowen,30,Development,2024-01-01,2,Drogol,86766,4,0,0
56,Jordan Thompson,33,Operations,2025-01-01,11,Utopia,90499,3,0,0
57,Walter Lloyd,49,Development,2022-01-01,4,Utopia,95293,4,0,0
58,Christine Willis,41,Operations,2023-01-01,15,Vantor,111960,4,0,0
59,Cynthia Mitchell,45,Marketing,2022-01-01,15,Lumeria,101543,5,0,0
60,Virginia Taylor,32,Sales,2023-01-01,7,Vantor,117956,2,75608,0
61,Anthony Hines,62,Development,2024-01-01,19,Lumeria,129152,4,0,0
62,Meagan Wilkins,55,Leadership,2012-01-01,15,Arkalon,500000,3,0,0
63,Erica Lopez,42,Development,2020-01-01,10,Zebronia,119960,5,0,0
64,Stephen Landry,54,Sales,2012-01-01,16,Kaldora,118371,3,68153,0
65,Nicole Smith,44,Support,2011-01-01,6,Vantor,86753,2,0,2
66,Jeanne Thomas,57,Sales,2010-01-01,20,Nirvon,114886,3,61356,0
67,Michelle Long,29,Operations,2020-01-01,7,Kaldora,89497,2,0,0
68,Brandon Boyd,46,Development,2018-01-01,15,Vantor,115649,2,0,0
69,Christopher Williams,43,Sales,2022-01-01,13,Kaldora,107357,2,71090,0
70,Kyle Guzman,55,Operations,2021-01-01,17,Drogol,112326,3,0,0
71,Dr. Nancy Lopez,48,Support,2024-01-01,12,Kaldora,70679,1,0,1
72,Brenda Davis,49,Support,2017-01-01,13,Utopia,107815,4,0,4
73,Willie Mercer,46,Support,2017-01-01,11,Aqualis,97129,3,0,3
74,Christopher Madden Jr.,40,Operations,2022-01-01,7,Zebronia,85974,3,0,0
